date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:24	15629/15629	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:22%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/13_47961117-bcc6-48bc-bf35-42becbb68030_large.jpg?v=1522554348	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/13_47961117-bcc6-48bc-bf35-42becbb68030_large6e5d.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:24	13168/13168	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:23%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/14_f661269e-7bc0-47fe-9e49-d1f28781ae31_large.jpg?v=1522554349	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/14_f661269e-7bc0-47fe-9e49-d1f28781ae31_large1881.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:29	11420/11420	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:26%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/9_1754fdac-0615-4ea7-bc4c-d7fbedac57d1_large.jpg?v=1522554326	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/9_1754fdac-0615-4ea7-bc4c-d7fbedac57d1_large1172.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:30	163982/163982	---MCZ	200	added ('OK')	text/html	etag:cacheable:4aff6b9d226420f9bfabe30ddc61ffa8	https://art-furniture-1.myshopify.com/products/florem-ipsum-dolor-sit	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/florem-ipsum-dolor-sit.html	(from https://art-furniture-1.myshopify.com/)
00:01:31	8954/8954	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:30%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/10_bf7b4d90-dda3-435d-904f-6874207a1d35_large.jpg?v=1522554326	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/10_bf7b4d90-dda3-435d-904f-6874207a1d35_large1172.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:34	164396/164396	---MCZ	200	added ('OK')	text/html	etag:cacheable:8e8032ea73201f671a9a95c17063a64f	https://art-furniture-1.myshopify.com/products/fat-fermentum-metusid	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/fat-fermentum-metusid.html	(from https://art-furniture-1.myshopify.com/)
00:01:35	20024/20024	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:34%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/5_64e3305c-0775-4083-808f-7144f884f671_large.jpg?v=1522554297	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/5_64e3305c-0775-4083-808f-7144f884f671_large4e65.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:35	18621/18621	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:35%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/6_ddd56c41-67dd-4f8d-8b9b-26531f402267_large.jpg?v=1522554298	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/6_ddd56c41-67dd-4f8d-8b9b-26531f402267_largeb5e6.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:41	212549/212549	---MCZ	200	added ('OK')	text/html	etag:cacheable:b5922c6d4d36f7b364f6d74866e4e131	https://art-furniture-1.myshopify.com/products/dummy-product-title-1	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/dummy-product-title-1.html	(from https://art-furniture-1.myshopify.com/)
00:01:44	8293/8293	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:38%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/1_72ac72fc-74d1-4116-b06a-36ef23413998_large.jpg?v=1522554257	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/1_72ac72fc-74d1-4116-b06a-36ef23413998_large22fd.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:45	8690/8690	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:39%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/2_928302a2-61ec-48bb-85e4-6b05977fc7c0_large.jpg?v=1522554259	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/2_928302a2-61ec-48bb-85e4-6b05977fc7c0_largec6fa.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:47	9783/9783	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:48%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/34_b0fdb4a0-a095-4279-b1b3-46bdb6741e90_large.jpg?v=1522554227	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/34_b0fdb4a0-a095-4279-b1b3-46bdb6741e90_large910b.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:52	253820/253820	---MCZ	200	added ('OK')	text/html	etag:cacheable:770c315f8359b384d93a5eb8bf6d5455	https://art-furniture-1.myshopify.com/products/dummy-product-name-9	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/dummy-product-name-9.html	(from https://art-furniture-1.myshopify.com/)
00:01:58	15968/15968	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:49%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/35_6c0d0d2f-740c-471b-8eb2-1095809ca8ca_large.jpg?v=1522554227	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/35_6c0d0d2f-740c-471b-8eb2-1095809ca8ca_large910b.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:59	7083/7083	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:02:00%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/26_06a288c9-3538-4914-9673-32e255117aa0_large.jpg?v=1522554549	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/26_06a288c9-3538-4914-9673-32e255117aa0_largeb19a.jpg	(from https://art-furniture-1.myshopify.com/)
00:02:00	13168/13168	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:02:00%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/30_3f175690-d5ab-4486-9ebc-abeab9f47281_large.jpg?v=1522554550	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/30_3f175690-d5ab-4486-9ebc-abeab9f47281_large66fc.jpg	(from https://art-furniture-1.myshopify.com/)
00:02:04	9783/9783	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:02:04%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/34_7bc14492-16b9-459b-94e8-6501489f55ae_large.jpg?v=1522554652	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/34_7bc14492-16b9-459b-94e8-6501489f55ae_largee368.jpg	(from https://art-furniture-1.myshopify.com/)
